"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
2.343750000E1,2.748754706E1,6.133011519E0
4.687500000E1,2.748754706E1,6.007383485E0
7.031250000E1,2.748754706E1,3.945658288E0
9.375000000E1,2.748754706E1,5.802690598E0
1.171875000E2,2.748754706E1,4.150594793E0
1.406250000E2,2.748754706E1,2.085273560E0
1.640625000E2,2.748754706E1,3.330321386E0
1.875000000E2,2.748754706E1,8.700906372E0
2.109375000E2,2.748754706E1,6.126566182E0
2.343750000E2,2.748754706E1,5.872902322E0
2.578125000E2,2.748754706E1,1.855977834E0
2.812500000E2,2.748754706E1,4.865115653E0
3.046875000E2,2.748754706E1,2.955336371E0
3.281250000E2,2.748754706E1,2.862693479E0
3.515625000E2,2.748754706E1,1.209010963E1
3.750000000E2,2.748754706E1,8.908358522E0
3.984375000E2,2.748754706E1,8.142392393E0
4.218750000E2,2.748754706E1,4.206019136E0
4.453125000E2,2.748754706E1,2.947168359E0
4.687500000E2,2.748754706E1,2.730625412E0
4.921875000E2,2.748754706E1,1.509253262E1
5.156250000E2,2.748754706E1,1.127292590E1
5.390625000E2,2.748754706E1,8.932857066E0
5.625000000E2,2.748754706E1,1.837960017E1
5.859375000E2,2.748754706E1,8.006369976E0
6.093750000E2,2.748754706E1,3.661233035E0
6.328125000E2,2.748754706E1,9.599489960E0
6.562500000E2,2.748754706E1,3.850629566E0
6.796875000E2,2.748754706E1,4.029219012E0
7.031250000E2,2.748754706E1,8.996817594E0
7.265625000E2,2.748754706E1,7.802222733E0
7.500000000E2,2.748754706E1,6.933830111E0
7.734375000E2,2.748754706E1,4.917220637E0
7.968750000E2,2.748754706E1,4.218077451E0
8.203125000E2,2.748754706E1,3.000781203E0
8.437500000E2,2.748754706E1,4.876251581E0
8.671875000E2,2.748754706E1,1.179867599E1
8.906250000E2,2.748754706E1,1.179591918E1
9.140625000E2,2.748754706E1,4.128838031E0
9.375000000E2,2.748754706E1,1.343177444E1
9.609375000E2,2.748754706E1,1.587536846E1
9.843750000E2,2.748754706E1,5.715485111E0
1.007812500E3,2.748754706E1,1.862025994E1
1.031250000E3,2.748754706E1,6.431518803E0
1.054687500E3,2.748754706E1,1.367144780E1
1.078125000E3,2.748754706E1,1.109884235E1
1.101562500E3,2.748754706E1,9.027117449E0
1.125000000E3,2.748754706E1,3.749018618E1
1.148437500E3,2.748754706E1,6.554763232E0
1.171875000E3,2.748754706E1,2.929230546E0
1.195312500E3,2.748754706E1,8.275070618E0
1.218750000E3,2.748754706E1,4.113492881E0
1.242187500E3,2.748754706E1,5.690699764E0
1.265625000E3,2.748754706E1,9.998659204E0
1.289062500E3,2.748754706E1,3.246861041E0
1.312500000E3,2.748754706E1,4.943118256E0
1.335937500E3,2.748754706E1,1.186006760E1
1.359375000E3,2.748754706E1,6.079315399E-1
1.382812500E3,2.748754706E1,5.098399870E0
1.406250000E3,2.748754706E1,7.725694299E0
1.429687500E3,2.748754706E1,7.951477012E0
1.453125000E3,2.748754706E1,1.412414876E1
1.476562500E3,2.748754706E1,3.390260518E0
1.500000000E3,2.748754706E1,6.977874257E0
1.523437500E3,2.748754706E1,1.878625413E0
1.546875000E3,2.748754706E1,8.715039381E0
1.570312500E3,2.748754706E1,1.855607489E1
1.593750000E3,2.748754706E1,1.195099437E1
1.617187500E3,2.748754706E1,3.601945576E1
1.640625000E3,2.748754706E1,1.353055432E1
1.664062500E3,2.748754706E1,1.099582091E1
1.687500000E3,2.748754706E1,7.126064940E0
1.710937500E3,2.748754706E1,9.526988926E0
1.734375000E3,2.748754706E1,2.722673722E1
1.757812500E3,2.748754706E1,9.056124504E0
1.781250000E3,2.748754706E1,1.918460231E1
1.804687500E3,2.748754706E1,1.016404948E1
1.828125000E3,2.748754706E1,1.033569523E1
1.851562500E3,2.748754706E1,1.135643324E1
1.875000000E3,2.748754706E1,6.187443787E0
1.898437500E3,2.748754706E1,1.205366883E1
1.921875000E3,2.748754706E1,9.772125776E0
1.945312500E3,2.748754706E1,7.484549069E0
1.968750000E3,2.748754706E1,1.414398146E1
1.992187500E3,2.748754706E1,9.153530930E0
2.015625000E3,2.748754706E1,1.392569406E1
2.039062500E3,2.748754706E1,6.404591614E0
2.062500000E3,2.748754706E1,1.260021359E1
