"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
2.343750000E1,5.139391844E0,6.803869978E-1
4.687500000E1,5.139391844E0,2.752441739E-1
7.031250000E1,5.139391844E0,3.027800612E-1
9.375000000E1,5.139391844E0,1.952542309E-1
1.171875000E2,5.139391844E0,8.291172037E-2
1.406250000E2,5.139391844E0,5.105158926E-1
1.640625000E2,5.139391844E0,3.970824784E-1
1.875000000E2,5.139391844E0,6.415394972E-1
2.109375000E2,5.139391844E0,5.411257720E-1
2.343750000E2,5.139391844E0,7.627583443E-1
2.578125000E2,5.139391844E0,1.149753760E0
2.812500000E2,5.139391844E0,7.292796115E-1
3.046875000E2,5.139391844E0,1.008350375E0
3.281250000E2,5.139391844E0,3.700083556E-1
3.515625000E2,5.139391844E0,7.496140334E-1
3.750000000E2,5.139391844E0,1.722695904E-1
3.984375000E2,5.139391844E0,2.404537330E-1
4.218750000E2,5.139391844E0,1.766489346E-1
4.453125000E2,5.139391844E0,2.049293296E0
4.687500000E2,5.139391844E0,3.602099812E-1
4.921875000E2,5.139391844E0,2.261259285E0
5.156250000E2,5.139391844E0,4.851984733E-1
5.390625000E2,5.139391844E0,1.321270137E0
5.625000000E2,5.139391844E0,7.831514101E-1
5.859375000E2,5.139391844E0,3.487964554E-1
6.093750000E2,5.139391844E0,7.925642747E-1
6.328125000E2,5.139391844E0,9.634562152E-1
6.562500000E2,5.139391844E0,1.560667675E-1
6.796875000E2,5.139391844E0,4.048903568E-1
7.031250000E2,5.139391844E0,1.069347645E0
7.265625000E2,5.139391844E0,2.027836514E0
7.500000000E2,5.139391844E0,2.275831364E0
7.734375000E2,5.139391844E0,3.199269896E-1
7.968750000E2,5.139391844E0,5.303091084E-1
8.203125000E2,5.139391844E0,3.221368911E0
8.437500000E2,5.139391844E0,1.325575857E0
8.671875000E2,5.139391844E0,1.217792253E0
8.906250000E2,5.139391844E0,4.154611514E0
9.140625000E2,5.139391844E0,5.552890819E-1
9.375000000E2,5.139391844E0,4.023944865E-1
9.609375000E2,5.139391844E0,1.782558076E0
9.843750000E2,5.139391844E0,4.786494308E0
1.007812500E3,5.139391844E0,8.777452444E0
1.031250000E3,5.139391844E0,3.215355153E-1
1.054687500E3,5.139391844E0,4.610278909E0
1.078125000E3,5.139391844E0,1.534859417E0
1.101562500E3,5.139391844E0,1.884164115E0
1.125000000E3,5.139391844E0,1.488226830E0
1.148437500E3,5.139391844E0,6.080456432E-1
1.171875000E3,5.139391844E0,2.330937650E0
1.195312500E3,5.139391844E0,2.326779408E0
1.218750000E3,5.139391844E0,1.142970106E0
1.242187500E3,5.139391844E0,8.615706046E-1
1.265625000E3,5.139391844E0,1.675475511E0
1.289062500E3,5.139391844E0,1.005054131E0
1.312500000E3,5.139391844E0,8.942350118E-1
1.335937500E3,5.139391844E0,4.965607296E-1
1.359375000E3,5.139391844E0,7.046198380E-1
1.382812500E3,5.139391844E0,9.333775427E-1
1.406250000E3,5.139391844E0,1.592580069E0
1.429687500E3,5.139391844E0,6.869117527E-1
1.453125000E3,5.139391844E0,6.622284586E-1
1.476562500E3,5.139391844E0,2.462799271E0
1.500000000E3,5.139391844E0,1.716181219E0
1.523437500E3,5.139391844E0,2.470985461E0
1.546875000E3,5.139391844E0,3.415436133E0
1.570312500E3,5.139391844E0,3.561311354E0
1.593750000E3,5.139391844E0,2.842248233E0
1.617187500E3,5.139391844E0,2.117223705E0
1.640625000E3,5.139391844E0,3.380149352E0
1.664062500E3,5.139391844E0,2.001994089E0
1.687500000E3,5.139391844E0,1.818100092E0
1.710937500E3,5.139391844E0,6.685372970E-1
1.734375000E3,5.139391844E0,1.131197428E0
1.757812500E3,5.139391844E0,1.255980653E0
1.781250000E3,5.139391844E0,1.368074410E0
1.804687500E3,5.139391844E0,2.406333534E0
1.828125000E3,5.139391844E0,4.630911998E0
1.851562500E3,5.139391844E0,5.285909545E0
1.875000000E3,5.139391844E0,7.800025368E0
1.898437500E3,5.139391844E0,1.535983037E0
1.921875000E3,5.139391844E0,3.217852436E0
1.945312500E3,5.139391844E0,3.851398082E0
1.968750000E3,5.139391844E0,5.076191873E0
1.992187500E3,5.139391844E0,1.128982820E1
2.015625000E3,5.139391844E0,8.747963771E0
2.039062500E3,5.139391844E0,1.017620903E0
2.062500000E3,5.139391844E0,1.712887317E0
2.085937500E3,5.139391844E0,7.179746992E0
2.109375000E3,5.139391844E0,6.434095085E0
2.132812500E3,5.139391844E0,2.656453634E0
2.156250000E3,5.139391844E0,1.485771332E1
2.179687500E3,5.139391844E0,8.138073918E0
2.203125000E3,5.139391844E0,1.100637699E1
2.226562500E3,5.139391844E0,8.039617073E0
2.250000000E3,5.139391844E0,6.458158085E0
2.273437500E3,5.139391844E0,1.651587375E0
2.296875000E3,5.139391844E0,2.551704922E0
2.320312500E3,5.139391844E0,3.240905891E0
2.343750000E3,5.139391844E0,3.672326136E0
2.367187500E3,5.139391844E0,6.301358142E0
2.390625000E3,5.139391844E0,9.978445769E0
2.414062500E3,5.139391844E0,4.810110037E-1
2.437500000E3,5.139391844E0,2.451011199E0
2.460937500E3,5.139391844E0,4.255457172E0
2.484375000E3,5.139391844E0,4.069714362E0
2.507812500E3,5.139391844E0,3.073578267E0
2.531250000E3,5.139391844E0,5.764623438E0
2.554687500E3,5.139391844E0,2.030990941E0
2.578125000E3,5.139391844E0,3.459057390E0
2.601562500E3,5.139391844E0,9.018851258E0
2.625000000E3,5.139391844E0,3.448740416E0
2.648437500E3,5.139391844E0,3.887932498E0
2.671875000E3,5.139391844E0,3.364033747E0
2.695312500E3,5.139391844E0,2.558663415E0
2.718750000E3,5.139391844E0,1.590831923E0
2.742187500E3,5.139391844E0,2.052379522E0
2.765625000E3,5.139391844E0,5.062337139E-1
2.789062500E3,5.139391844E0,1.064471708E0
2.812500000E3,5.139391844E0,1.905920663E0
2.835937500E3,5.139391844E0,1.886313832E-1
2.859375000E3,5.139391844E0,4.100735435E0
2.882812500E3,5.139391844E0,1.417393144E0
2.906250000E3,5.139391844E0,1.747412039E0
2.929687500E3,5.139391844E0,1.207594893E0
2.953125000E3,5.139391844E0,1.052464621E0
2.976562500E3,5.139391844E0,5.910490419E-1
3.000000000E3,5.139391844E0,1.150750572E0
3.023437500E3,5.139391844E0,5.136078620E-1
3.046875000E3,5.139391844E0,5.416371174E-1
3.070312500E3,5.139391844E0,1.192143734E0
3.093750000E3,5.139391844E0,1.657075602E0
3.117187500E3,5.139391844E0,3.551756537E-1
3.140625000E3,5.139391844E0,1.106566733E0
3.164062500E3,5.139391844E0,5.869235416E-1
3.187500000E3,5.139391844E0,5.544364386E-1
3.210937500E3,5.139391844E0,2.489109416E0
3.234375000E3,5.139391844E0,1.960242641E-1
3.257812500E3,5.139391844E0,9.833428340E-1
3.281250000E3,5.139391844E0,1.981737680E-1
3.304687500E3,5.139391844E0,2.399941961E0
3.328125000E3,5.139391844E0,1.528798500E0
3.351562500E3,5.139391844E0,2.951704128E0
3.375000000E3,5.139391844E0,2.025291271E0
3.398437500E3,5.139391844E0,1.603743301E0
3.421875000E3,5.139391844E0,4.673456679E0
3.445312500E3,5.139391844E0,2.404647013E0
3.468750000E3,5.139391844E0,1.983407556E0
3.492187500E3,5.139391844E0,5.375501202E0
3.515625000E3,5.139391844E0,2.460910369E0
3.539062500E3,5.139391844E0,7.710675702E0
3.562500000E3,5.139391844E0,7.922287562E0
3.585937500E3,5.139391844E0,4.945963110E0
3.609375000E3,5.139391844E0,1.149601597E1
3.632812500E3,5.139391844E0,1.165103856E1
3.656250000E3,5.139391844E0,4.689732568E0
3.679687500E3,5.139391844E0,1.149838489E0
3.703125000E3,5.139391844E0,9.546316582E0
3.726562500E3,5.139391844E0,1.744836404E1
3.750000000E3,5.139391844E0,7.175684161E0
3.773437500E3,5.139391844E0,7.937652691E0
3.796875000E3,5.139391844E0,1.382825666E1
3.820312500E3,5.139391844E0,3.937831627E0
3.843750000E3,5.139391844E0,2.095989015E1
3.867187500E3,5.139391844E0,5.256154410E0
3.890625000E3,5.139391844E0,8.314798529E0
3.914062500E3,5.139391844E0,5.354264925E0
3.937500000E3,5.139391844E0,4.782561579E0
3.960937500E3,5.139391844E0,1.023201441E1
3.984375000E3,5.139391844E0,1.912332390E1
4.007812500E3,5.139391844E0,4.675412264E0
4.031250000E3,5.139391844E0,1.595022427E0
4.054687500E3,5.139391844E0,3.927136828E0
4.078125000E3,5.139391844E0,8.372104622E0
4.101562500E3,5.139391844E0,6.128559192E0
4.125000000E3,5.139391844E0,1.137039924E1
4.148437500E3,5.139391844E0,4.286152807E0
4.171875000E3,5.139391844E0,7.993984570E0
4.195312500E3,5.139391844E0,1.838102543E1
4.218750000E3,5.139391844E0,1.406395049E1
4.242187500E3,5.139391844E0,4.892847265E0
4.265625000E3,5.139391844E0,1.465870532E1
4.289062500E3,5.139391844E0,4.929394685E0
4.312500000E3,5.139391844E0,4.802932691E0
4.335937500E3,5.139391844E0,2.405919133E1
4.359375000E3,5.139391844E0,2.222359786E1
4.382812500E3,5.139391844E0,1.464225316E1
4.406250000E3,5.139391844E0,1.673305422E1
4.429687500E3,5.139391844E0,1.592749299E1
4.453125000E3,5.139391844E0,1.040270340E1
4.476562500E3,5.139391844E0,7.481255572E0
