"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
1.245117188E1,0.000000000E0,1.048556423E1
3.588867188E1,0.000000000E0,8.970639526E0
5.932617188E1,0.000000000E0,4.650186416E0
8.276367188E1,0.000000000E0,6.183479577E0
1.062011719E2,0.000000000E0,4.951942883E0
1.296386719E2,0.000000000E0,6.709978098E0
1.530761719E2,0.000000000E0,5.652351821E0
1.765136719E2,0.000000000E0,6.101903759E0
1.999511719E2,0.000000000E0,5.875727730E0
2.233886719E2,0.000000000E0,7.438592114E0
2.468261719E2,0.000000000E0,9.866350434E0
2.702636719E2,0.000000000E0,8.048680452E0
2.937011719E2,0.000000000E0,5.590204506E0
3.171386719E2,0.000000000E0,5.749411915E0
3.405761719E2,0.000000000E0,6.616209173E0
3.640136719E2,0.000000000E0,6.641218154E0
3.874511719E2,0.000000000E0,5.860933621E0
4.108886719E2,0.000000000E0,7.635180068E0
4.343261719E2,0.000000000E0,9.312916234E0
4.577636719E2,0.000000000E0,1.019264973E1
4.812011719E2,0.000000000E0,1.383854333E1
5.046386719E2,0.000000000E0,2.134859568E1
5.280761719E2,0.000000000E0,4.534010811E1
5.515136719E2,0.000000000E0,2.212801186E1
5.749511719E2,0.000000000E0,1.662078453E1
5.983886719E2,0.000000000E0,1.346596749E1
6.218261719E2,0.000000000E0,1.329535948E1
6.452636719E2,0.000000000E0,1.083614804E1
6.687011719E2,0.000000000E0,8.263815632E0
6.921386719E2,0.000000000E0,1.179196326E1
7.155761719E2,0.000000000E0,9.577505878E0
7.390136719E2,0.000000000E0,1.063054708E1
7.624511719E2,0.000000000E0,1.153902445E1
7.858886719E2,0.000000000E0,1.004524015E1
8.093261719E2,0.000000000E0,8.757872734E0
8.327636719E2,0.000000000E0,7.506106346E0
8.562011719E2,0.000000000E0,1.087916193E1
8.796386719E2,0.000000000E0,1.773159312E1
9.030761719E2,0.000000000E0,1.629625608E1
9.265136719E2,0.000000000E0,1.847820137E1
9.499511719E2,0.000000000E0,3.330129280E1
9.733886719E2,0.000000000E0,5.196249784E1
9.968261719E2,0.000000000E0,5.417382521E1
1.020263672E3,0.000000000E0,7.681998207E1
1.043701172E3,0.000000000E0,7.322260528E1
1.067138672E3,0.000000000E0,7.827327060E1
1.090576172E3,0.000000000E0,7.432219230E1
1.114013672E3,0.000000000E0,6.443826750E1
1.137451172E3,0.000000000E0,5.457893596E1
1.160888672E3,0.000000000E0,3.248600347E1
1.184326172E3,0.000000000E0,2.516859029E1
1.207763672E3,0.000000000E0,2.096163647E1
1.231201172E3,0.000000000E0,2.191820623E1
1.254638672E3,0.000000000E0,1.849880627E1
1.278076172E3,0.000000000E0,2.275663894E1
1.301513672E3,0.000000000E0,1.655265482E1
1.324951172E3,0.000000000E0,1.463439748E1
1.348388672E3,0.000000000E0,2.060969870E1
1.371826172E3,0.000000000E0,2.509517965E1
1.395263672E3,0.000000000E0,2.023813582E1
1.418701172E3,0.000000000E0,2.067843669E1
1.442138672E3,0.000000000E0,3.275720226E1
1.465576172E3,0.000000000E0,2.868779479E1
1.489013672E3,0.000000000E0,3.739045054E1
1.512451172E3,0.000000000E0,3.188031212E1
1.535888672E3,0.000000000E0,3.407226073E1
1.559326172E3,0.000000000E0,4.322614723E1
1.582763672E3,0.000000000E0,6.029437921E1
1.606201172E3,0.000000000E0,4.973010940E1
1.629638672E3,0.000000000E0,6.050095216E1
1.653076172E3,0.000000000E0,5.692999341E1
1.676513672E3,0.000000000E0,5.498866303E1
1.699951172E3,0.000000000E0,3.379626771E1
1.723388672E3,0.000000000E0,3.847200390E1
1.746826172E3,0.000000000E0,3.529889073E1
1.770263672E3,0.000000000E0,3.929455186E1
1.793701172E3,0.000000000E0,3.830951487E1
1.817138672E3,0.000000000E0,2.610317294E1
1.840576172E3,0.000000000E0,2.315182549E1
1.864013672E3,0.000000000E0,2.210261559E1
1.887451172E3,0.000000000E0,2.371311613E1
1.910888672E3,0.000000000E0,2.649968173E1
1.934326172E3,0.000000000E0,2.580460112E1
1.957763672E3,0.000000000E0,2.769982958E1
1.981201172E3,0.000000000E0,3.099356784E1
2.004638672E3,0.000000000E0,3.887750836E1
2.028076172E3,0.000000000E0,4.139430366E1
2.051513672E3,0.000000000E0,4.984741494E1
2.074951172E3,0.000000000E0,5.192562475E1
2.098388672E3,0.000000000E0,4.754525436E1
2.121826172E3,0.000000000E0,5.804516108E1
2.145263672E3,0.000000000E0,5.754087423E1
2.168701172E3,0.000000000E0,8.608518159E1
2.192138672E3,0.000000000E0,8.262173882E1
2.215576172E3,0.000000000E0,5.897123797E1
2.239013672E3,0.000000000E0,7.041613896E1
2.262451172E3,0.000000000E0,5.552501738E1
2.285888672E3,0.000000000E0,4.862392202E1
2.309326172E3,0.000000000E0,4.664676234E1
2.332763672E3,0.000000000E0,3.398086819E1
2.356201172E3,0.000000000E0,3.746664825E1
2.379638672E3,0.000000000E0,3.488952674E1
2.403076172E3,0.000000000E0,3.676206497E1
2.426513672E3,0.000000000E0,3.932434521E1
2.449951172E3,0.000000000E0,3.483461062E1
2.473388672E3,0.000000000E0,4.875953304E1
2.496826172E3,0.000000000E0,3.337442179E1
