"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
1.245117188E1,0.000000000E0,6.308536184E0
3.588867188E1,0.000000000E0,2.958915047E0
5.932617188E1,0.000000000E0,3.459932853E0
8.276367188E1,0.000000000E0,2.363904104E0
1.062011719E2,0.000000000E0,1.247010609E0
1.296386719E2,0.000000000E0,1.232823515E0
1.530761719E2,0.000000000E0,1.834495434E0
1.765136719E2,0.000000000E0,1.178250992E0
1.999511719E2,0.000000000E0,1.105147732E0
2.233886719E2,0.000000000E0,2.523366775E0
2.468261719E2,0.000000000E0,3.766014907E0
2.702636719E2,0.000000000E0,3.508370156E0
2.937011719E2,0.000000000E0,1.841836799E0
3.171386719E2,0.000000000E0,8.664845391E-1
3.405761719E2,0.000000000E0,1.628164411E0
3.640136719E2,0.000000000E0,1.938958426E0
3.874511719E2,0.000000000E0,7.120936468E-1
4.108886719E2,0.000000000E0,1.259162050E0
4.343261719E2,0.000000000E0,1.945335910E0
4.577636719E2,0.000000000E0,2.021585122E0
4.812011719E2,0.000000000E0,4.855635842E0
5.046386719E2,0.000000000E0,3.110069048E0
5.280761719E2,0.000000000E0,1.768082683E0
5.515136719E2,0.000000000E0,2.642318034E0
5.749511719E2,0.000000000E0,3.673086999E0
5.983886719E2,0.000000000E0,4.178622479E0
6.218261719E2,0.000000000E0,4.084555811E0
6.452636719E2,0.000000000E0,2.626295236E0
6.687011719E2,0.000000000E0,1.872220277E0
6.921386719E2,0.000000000E0,2.790067490E0
7.155761719E2,0.000000000E0,6.242580734E-1
7.390136719E2,0.000000000E0,1.516319078E0
7.624511719E2,0.000000000E0,1.068050602E0
7.858886719E2,0.000000000E0,6.950897301E-1
8.093261719E2,0.000000000E0,8.469935618E-1
8.327636719E2,0.000000000E0,2.364723781E0
8.562011719E2,0.000000000E0,1.527362490E0
8.796386719E2,0.000000000E0,1.480632278E0
9.030761719E2,0.000000000E0,1.981774180E0
9.265136719E2,0.000000000E0,1.217128436E0
9.499511719E2,0.000000000E0,2.282958823E0
9.733886719E2,0.000000000E0,4.193378808E0
9.968261719E2,0.000000000E0,2.230436522E0
1.020263672E3,0.000000000E0,3.107639888E0
1.043701172E3,0.000000000E0,3.735802502E0
1.067138672E3,0.000000000E0,4.839697387E0
1.090576172E3,0.000000000E0,1.641374013E0
1.114013672E3,0.000000000E0,1.563627550E0
1.137451172E3,0.000000000E0,2.452845950E0
1.160888672E3,0.000000000E0,3.793477660E0
1.184326172E3,0.000000000E0,3.665684948E0
1.207763672E3,0.000000000E0,3.056527045E0
1.231201172E3,0.000000000E0,9.963457819E-1
1.254638672E3,0.000000000E0,1.223049771E0
1.278076172E3,0.000000000E0,4.249098180E0
1.301513672E3,0.000000000E0,3.405236444E0
1.324951172E3,0.000000000E0,3.742789277E0
1.348388672E3,0.000000000E0,4.701328383E0
1.371826172E3,0.000000000E0,4.237266828E0
1.395263672E3,0.000000000E0,4.919914031E0
1.418701172E3,0.000000000E0,6.299213788E0
1.442138672E3,0.000000000E0,6.662267292E0
1.465576172E3,0.000000000E0,6.281600080E0
1.489013672E3,0.000000000E0,4.984927482E0
1.512451172E3,0.000000000E0,4.472978480E0
1.535888672E3,0.000000000E0,5.499728651E0
1.559326172E3,0.000000000E0,3.780422298E0
1.582763672E3,0.000000000E0,3.477394892E0
1.606201172E3,0.000000000E0,3.592286859E0
1.629638672E3,0.000000000E0,4.434497380E0
1.653076172E3,0.000000000E0,3.468613072E0
1.676513672E3,0.000000000E0,4.370373848E0
1.699951172E3,0.000000000E0,3.812321161E0
1.723388672E3,0.000000000E0,4.819585797E0
1.746826172E3,0.000000000E0,6.584988766E0
1.770263672E3,0.000000000E0,5.885129916E0
1.793701172E3,0.000000000E0,5.756898782E0
1.817138672E3,0.000000000E0,7.938298296E0
1.840576172E3,0.000000000E0,6.682493020E0
1.864013672E3,0.000000000E0,6.799880586E0
1.887451172E3,0.000000000E0,6.561181662E0
1.910888672E3,0.000000000E0,7.881350504E0
1.934326172E3,0.000000000E0,9.232443888E0
1.957763672E3,0.000000000E0,9.077758307E0
1.981201172E3,0.000000000E0,1.310808700E1
2.004638672E3,0.000000000E0,1.073121203E1
2.028076172E3,0.000000000E0,8.399788673E0
2.051513672E3,0.000000000E0,7.218839553E0
2.074951172E3,0.000000000E0,1.062563496E1
2.098388672E3,0.000000000E0,1.858877912E1
2.121826172E3,0.000000000E0,1.253814182E1
2.145263672E3,0.000000000E0,1.025923590E1
2.168701172E3,0.000000000E0,8.904321114E0
2.192138672E3,0.000000000E0,5.684875332E0
2.215576172E3,0.000000000E0,6.235613673E0
2.239013672E3,0.000000000E0,6.059773037E0
2.262451172E3,0.000000000E0,3.691765742E0
2.285888672E3,0.000000000E0,6.322425190E0
2.309326172E3,0.000000000E0,6.015342296E0
2.332763672E3,0.000000000E0,1.181765687E1
2.356201172E3,0.000000000E0,1.205359854E1
2.379638672E3,0.000000000E0,1.086893536E1
2.403076172E3,0.000000000E0,9.307451926E0
2.426513672E3,0.000000000E0,7.447652301E0
2.449951172E3,0.000000000E0,7.152241414E0
2.473388672E3,0.000000000E0,9.242158208E0
2.496826172E3,0.000000000E0,8.499981649E0
2.520263672E3,0.000000000E0,4.897180920E0
2.543701172E3,0.000000000E0,2.926586726E0
2.567138672E3,0.000000000E0,7.821927466E0
2.590576172E3,0.000000000E0,4.771793277E0
2.614013672E3,0.000000000E0,5.018949005E0
2.637451172E3,0.000000000E0,9.687596971E0
2.660888672E3,0.000000000E0,8.626224720E0
2.684326172E3,0.000000000E0,1.159253354E1
2.707763672E3,0.000000000E0,8.785140027E0
2.731201172E3,0.000000000E0,9.538833807E0
2.754638672E3,0.000000000E0,1.121067361E1
2.778076172E3,0.000000000E0,6.368850576E0
2.801513672E3,0.000000000E0,3.563404508E0
2.824951172E3,0.000000000E0,6.056915728E0
2.848388672E3,0.000000000E0,6.366253622E0
2.871826172E3,0.000000000E0,5.433000696E0
2.895263672E3,0.000000000E0,3.318736091E0
2.918701172E3,0.000000000E0,5.037255319E0
2.942138672E3,0.000000000E0,7.723881045E0
2.965576172E3,0.000000000E0,1.042431659E1
2.989013672E3,0.000000000E0,5.078495607E0
3.012451172E3,0.000000000E0,3.683032043E0
3.035888672E3,0.000000000E0,3.506393769E0
3.059326172E3,0.000000000E0,5.603513003E0
3.082763672E3,0.000000000E0,7.992573404E0
3.106201172E3,0.000000000E0,6.667743437E0
3.129638672E3,0.000000000E0,6.301362077E0
3.153076172E3,0.000000000E0,5.510757968E0
3.176513672E3,0.000000000E0,6.933136673E0
3.199951172E3,0.000000000E0,9.525825812E0
3.223388672E3,0.000000000E0,5.070495948E0
3.246826172E3,0.000000000E0,7.458688295E0
3.270263672E3,0.000000000E0,2.465423070E0
3.293701172E3,0.000000000E0,7.391914329E0
3.317138672E3,0.000000000E0,5.451681773E0
3.340576172E3,0.000000000E0,6.801960435E0
3.364013672E3,0.000000000E0,4.912274210E0
3.387451172E3,0.000000000E0,9.238182472E0
3.410888672E3,0.000000000E0,1.003766960E1
3.434326172E3,0.000000000E0,1.170535673E1
3.457763672E3,0.000000000E0,1.023447587E1
3.481201172E3,0.000000000E0,6.605332114E0
3.504638672E3,0.000000000E0,8.816974228E0
3.528076172E3,0.000000000E0,1.198359545E1
3.551513672E3,0.000000000E0,1.038161464E1
3.574951172E3,0.000000000E0,1.744115742E1
3.598388672E3,0.000000000E0,2.122519390E1
3.621826172E3,0.000000000E0,1.823641906E1
3.645263672E3,0.000000000E0,1.936804042E1
3.668701172E3,0.000000000E0,1.959337725E1
3.692138672E3,0.000000000E0,2.497954043E1
3.715576172E3,0.000000000E0,1.842268630E1
3.739013672E3,0.000000000E0,1.461548339E1
3.762451172E3,0.000000000E0,1.262217881E1
3.785888672E3,0.000000000E0,1.813961743E1
3.809326172E3,0.000000000E0,1.818022830E1
3.832763672E3,0.000000000E0,1.542073242E1
3.856201172E3,0.000000000E0,1.917303266E1
3.879638672E3,0.000000000E0,2.407079130E1
3.903076172E3,0.000000000E0,3.508131454E1
3.926513672E3,0.000000000E0,3.075957881E1
3.949951172E3,0.000000000E0,4.419840603E1
3.973388672E3,0.000000000E0,4.498429054E1
3.996826172E3,0.000000000E0,2.618243732E1
4.020263672E3,0.000000000E0,3.978272444E1
4.043701172E3,0.000000000E0,2.757987804E1
4.067138672E3,0.000000000E0,2.752114324E1
4.090576172E3,0.000000000E0,2.354859062E1
4.114013672E3,0.000000000E0,1.948106784E1
4.137451172E3,0.000000000E0,2.291073927E1
4.160888672E3,0.000000000E0,1.926738754E1
4.184326172E3,0.000000000E0,3.638332978E1
4.207763672E3,0.000000000E0,3.567189263E1
4.231201172E3,0.000000000E0,2.738782441E1
4.254638672E3,0.000000000E0,4.052130841E1
4.278076172E3,0.000000000E0,4.602500999E1
4.301513672E3,0.000000000E0,3.809657765E1
4.324951172E3,0.000000000E0,3.204153515E1
4.348388672E3,0.000000000E0,4.036872952E1
4.371826172E3,0.000000000E0,3.860677994E1
4.395263672E3,0.000000000E0,3.557571750E1
4.418701172E3,0.000000000E0,3.474972208E1
4.442138672E3,0.000000000E0,2.211200026E1
4.465576172E3,0.000000000E0,2.729468632E1
4.489013672E3,0.000000000E0,2.682628423E1
4.512451172E3,0.000000000E0,2.914847874E1
4.535888672E3,0.000000000E0,1.999909963E1
4.559326172E3,0.000000000E0,1.730291359E1
4.582763672E3,0.000000000E0,3.823655273E1
4.606201172E3,0.000000000E0,3.924122083E1
4.629638672E3,0.000000000E0,2.450685900E1
4.653076172E3,0.000000000E0,2.036192823E1
4.676513672E3,0.000000000E0,3.646636596E1
4.699951172E3,0.000000000E0,3.485286481E1
4.723388672E3,0.000000000E0,3.009929665E1
4.746826172E3,0.000000000E0,2.322244258E1
4.770263672E3,0.000000000E0,3.119828561E1
4.793701172E3,0.000000000E0,3.927130342E1
4.817138672E3,0.000000000E0,4.831351724E1
4.840576172E3,0.000000000E0,3.647906823E1
4.864013672E3,0.000000000E0,3.861312717E1
4.887451172E3,0.000000000E0,2.504492074E1
4.910888672E3,0.000000000E0,3.186135261E1
4.934326172E3,0.000000000E0,3.381329759E1
4.957763672E3,0.000000000E0,2.575766183E1
4.981201172E3,0.000000000E0,1.752081638E1
5.004638672E3,0.000000000E0,1.399149436E1
5.028076172E3,0.000000000E0,1.215532910E1
5.051513672E3,0.000000000E0,1.248927107E1
5.074951172E3,0.000000000E0,9.101347293E0
5.098388672E3,0.000000000E0,1.249055855E1
5.121826172E3,0.000000000E0,2.617286878E1
5.145263672E3,0.000000000E0,3.303960944E1
5.168701172E3,0.000000000E0,2.937316994E1
5.192138672E3,0.000000000E0,3.447319225E1
5.215576172E3,0.000000000E0,5.740750908E1
5.239013672E3,0.000000000E0,3.928901061E1
5.262451172E3,0.000000000E0,4.750905041E1
5.285888672E3,0.000000000E0,2.179685306E1
5.309326172E3,0.000000000E0,3.047445641E1
5.332763672E3,0.000000000E0,2.581889763E1
5.356201172E3,0.000000000E0,2.400515523E1
5.379638672E3,0.000000000E0,2.188695667E1
5.403076172E3,0.000000000E0,1.981210160E1
5.426513672E3,0.000000000E0,2.769565841E1
5.449951172E3,0.000000000E0,4.602988472E1
5.473388672E3,0.000000000E0,4.155245377E1
5.496826172E3,0.000000000E0,4.848868548E1
5.520263672E3,0.000000000E0,2.902776831E1
5.543701172E3,0.000000000E0,4.332025901E1
5.567138672E3,0.000000000E0,2.914782815E1
5.590576172E3,0.000000000E0,3.436361508E1
5.614013672E3,0.000000000E0,2.778059795E1
5.637451172E3,0.000000000E0,3.030647416E1
5.660888672E3,0.000000000E0,4.701170096E1
5.684326172E3,0.000000000E0,2.880017460E1
5.707763672E3,0.000000000E0,4.262438025E1
5.731201172E3,0.000000000E0,3.833416016E1
5.754638672E3,0.000000000E0,4.972309124E1
5.778076172E3,0.000000000E0,3.106029893E1
5.801513672E3,0.000000000E0,5.266598277E1
5.824951172E3,0.000000000E0,4.364995222E1
5.848388672E3,0.000000000E0,5.313737007E1
5.871826172E3,0.000000000E0,2.454318817E1
5.895263672E3,0.000000000E0,3.304611515E1
5.918701172E3,0.000000000E0,3.867083747E1
5.942138672E3,0.000000000E0,3.855334616E1
5.965576172E3,0.000000000E0,3.964084103E1
5.989013672E3,0.000000000E0,2.113816085E1
1.245117188E1,6.826666667E-1,1.512029693E1
3.588867188E1,6.826666667E-1,9.771556867E0
5.932617188E1,6.826666667E-1,1.298919662E1
8.276367188E1,6.826666667E-1,8.116305300E0
1.062011719E2,6.826666667E-1,6.139503439E0
1.296386719E2,6.826666667E-1,5.825456844E0
1.530761719E2,6.826666667E-1,5.029129779E0
1.765136719E2,6.826666667E-1,5.584064693E0
1.999511719E2,6.826666667E-1,3.527497363E0
2.233886719E2,6.826666667E-1,3.933751366E0
2.468261719E2,6.826666667E-1,6.018685511E0
2.702636719E2,6.826666667E-1,5.269138642E0
2.937011719E2,6.826666667E-1,3.241460100E0
3.171386719E2,6.826666667E-1,1.943328387E0
3.405761719E2,6.826666667E-1,1.907864824E0
3.640136719E2,6.826666667E-1,1.914805315E0
3.874511719E2,6.826666667E-1,2.063451691E0
4.108886719E2,6.826666667E-1,2.203711778E0
4.343261719E2,6.826666667E-1,3.413228715E0
4.577636719E2,6.826666667E-1,2.304683446E0
4.812011719E2,6.826666667E-1,3.957431917E0
5.046386719E2,6.826666667E-1,2.530446386E0
5.280761719E2,6.826666667E-1,2.099027422E0
5.515136719E2,6.826666667E-1,2.814594713E0
5.749511719E2,6.826666667E-1,3.886174079E0
5.983886719E2,6.826666667E-1,6.929825184E0
6.218261719E2,6.826666667E-1,3.351808500E0
6.452636719E2,6.826666667E-1,3.009284956E0
6.687011719E2,6.826666667E-1,2.715112149E0
6.921386719E2,6.826666667E-1,3.404354123E0
7.155761719E2,6.826666667E-1,1.714414885E0
7.390136719E2,6.826666667E-1,1.219890927E0
7.624511719E2,6.826666667E-1,1.996252268E0
7.858886719E2,6.826666667E-1,1.480258475E0
8.093261719E2,6.826666667E-1,1.376298648E0
8.327636719E2,6.826666667E-1,2.931956857E0
8.562011719E2,6.826666667E-1,2.057664951E0
8.796386719E2,6.826666667E-1,1.930894883E0
9.030761719E2,6.826666667E-1,1.647808285E0
9.265136719E2,6.826666667E-1,1.707086322E0
9.499511719E2,6.826666667E-1,2.138984426E0
9.733886719E2,6.826666667E-1,5.026176753E0
9.968261719E2,6.826666667E-1,3.988415505E0
1.020263672E3,6.826666667E-1,4.547753591E0
1.043701172E3,6.826666667E-1,4.890459104E0
1.067138672E3,6.826666667E-1,4.525262319E0
1.090576172E3,6.826666667E-1,1.999898335E0
1.114013672E3,6.826666667E-1,2.163609448E0
1.137451172E3,6.826666667E-1,2.790425175E0
1.160888672E3,6.826666667E-1,4.541363040E0
1.184326172E3,6.826666667E-1,2.472491203E0
1.207763672E3,6.826666667E-1,3.124580782E0
1.231201172E3,6.826666667E-1,1.706340170E0
1.254638672E3,6.826666667E-1,1.335120193E0
1.278076172E3,6.826666667E-1,3.993295592E0
1.301513672E3,6.826666667E-1,4.339014751E0
1.324951172E3,6.826666667E-1,6.122245049E0
1.348388672E3,6.826666667E-1,5.748643709E0
1.371826172E3,6.826666667E-1,4.894373911E0
1.395263672E3,6.826666667E-1,6.123659506E0
1.418701172E3,6.826666667E-1,6.841072425E0
1.442138672E3,6.826666667E-1,8.727913081E0
1.465576172E3,6.826666667E-1,8.252572499E0
1.489013672E3,6.826666667E-1,5.888955946E0
1.512451172E3,6.826666667E-1,4.677801864E0
1.535888672E3,6.826666667E-1,5.452176208E0
1.559326172E3,6.826666667E-1,4.840740741E0
1.582763672E3,6.826666667E-1,3.202935679E0
1.606201172E3,6.826666667E-1,3.496067652E0
1.629638672E3,6.826666667E-1,5.603653437E0
1.653076172E3,6.826666667E-1,4.414564272E0
1.676513672E3,6.826666667E-1,4.611527491E0
1.699951172E3,6.826666667E-1,5.034927263E0
1.723388672E3,6.826666667E-1,5.069995657E0
1.746826172E3,6.826666667E-1,7.810970510E0
1.770263672E3,6.826666667E-1,5.639730857E0
1.793701172E3,6.826666667E-1,7.304557126E0
1.817138672E3,6.826666667E-1,7.223403087E0
1.840576172E3,6.826666667E-1,8.405367837E0
1.864013672E3,6.826666667E-1,6.544233864E0
1.887451172E3,6.826666667E-1,7.040814620E0
1.910888672E3,6.826666667E-1,6.744263062E0
1.934326172E3,6.826666667E-1,9.462387197E0
1.957763672E3,6.826666667E-1,8.732496782E0
1.981201172E3,6.826666667E-1,1.404090932E1
2.004638672E3,6.826666667E-1,1.406426034E1
2.028076172E3,6.826666667E-1,9.500535688E0
2.051513672E3,6.826666667E-1,1.147512663E1
2.074951172E3,6.826666667E-1,1.167566351E1
2.098388672E3,6.826666667E-1,1.362216702E1
2.121826172E3,6.826666667E-1,1.215368378E1
2.145263672E3,6.826666667E-1,8.335061538E0
2.168701172E3,6.826666667E-1,8.751797874E0
2.192138672E3,6.826666667E-1,5.265602572E0
2.215576172E3,6.826666667E-1,8.649514886E0
2.239013672E3,6.826666667E-1,7.141808572E0
2.262451172E3,6.826666667E-1,5.753337282E0
2.285888672E3,6.826666667E-1,1.029191075E1
2.309326172E3,6.826666667E-1,7.856248412E0
2.332763672E3,6.826666667E-1,1.419297638E1
2.356201172E3,6.826666667E-1,8.729268752E0
2.379638672E3,6.826666667E-1,1.054515065E1
2.403076172E3,6.826666667E-1,1.081357589E1
2.426513672E3,6.826666667E-1,6.111438390E0
2.449951172E3,6.826666667E-1,6.865467420E0
2.473388672E3,6.826666667E-1,8.251310443E0
2.496826172E3,6.826666667E-1,6.585684376E0
2.520263672E3,6.826666667E-1,7.759867123E0
2.543701172E3,6.826666667E-1,4.262400655E0
2.567138672E3,6.826666667E-1,8.193746689E0
2.590576172E3,6.826666667E-1,4.243367712E0
2.614013672E3,6.826666667E-1,9.740877611E0
2.637451172E3,6.826666667E-1,9.673667633E0
2.660888672E3,6.826666667E-1,7.233580567E0
2.684326172E3,6.826666667E-1,9.863778052E0
2.707763672E3,6.826666667E-1,5.200040931E0
2.731201172E3,6.826666667E-1,7.525163614E0
2.754638672E3,6.826666667E-1,8.769044242E0
2.778076172E3,6.826666667E-1,7.961849173E0
2.801513672E3,6.826666667E-1,3.875850515E0
2.824951172E3,6.826666667E-1,5.904218126E0
2.848388672E3,6.826666667E-1,4.511482493E0
2.871826172E3,6.826666667E-1,3.929946662E0
2.895263672E3,6.826666667E-1,5.276243972E0
2.918701172E3,6.826666667E-1,6.367030513E0
2.942138672E3,6.826666667E-1,9.536003693E0
2.965576172E3,6.826666667E-1,8.127664994E0
2.989013672E3,6.826666667E-1,4.923358788E0
3.012451172E3,6.826666667E-1,5.130997391E0
3.035888672E3,6.826666667E-1,3.883196811E0
3.059326172E3,6.826666667E-1,4.459884265E0
3.082763672E3,6.826666667E-1,5.181279818E0
3.106201172E3,6.826666667E-1,4.260899172E0
3.129638672E3,6.826666667E-1,4.948399324E0
3.153076172E3,6.826666667E-1,6.858360837E0
3.176513672E3,6.826666667E-1,5.894096273E0
3.199951172E3,6.826666667E-1,7.019025011E0
3.223388672E3,6.826666667E-1,5.087568349E0
3.246826172E3,6.826666667E-1,6.695408556E0
3.270263672E3,6.826666667E-1,7.383009254E0
3.293701172E3,6.826666667E-1,1.082960383E1
3.317138672E3,6.826666667E-1,9.492821473E0
3.340576172E3,6.826666667E-1,9.566858853E0
3.364013672E3,6.826666667E-1,6.215750584E0
3.387451172E3,6.826666667E-1,1.298458562E1
3.410888672E3,6.826666667E-1,9.936807294E0
3.434326172E3,6.826666667E-1,1.209098092E1
3.457763672E3,6.826666667E-1,1.177093581E1
3.481201172E3,6.826666667E-1,6.206179231E0
3.504638672E3,6.826666667E-1,9.571054217E0
3.528076172E3,6.826666667E-1,1.229576000E1
3.551513672E3,6.826666667E-1,1.092445918E1
3.574951172E3,6.826666667E-1,1.630128024E1
3.598388672E3,6.826666667E-1,2.142268736E1
3.621826172E3,6.826666667E-1,1.647252670E1
3.645263672E3,6.826666667E-1,2.155576366E1
3.668701172E3,6.826666667E-1,1.453227578E1
3.692138672E3,6.826666667E-1,2.076328751E1
3.715576172E3,6.826666667E-1,1.089358674E1
3.739013672E3,6.826666667E-1,1.285029828E1
3.762451172E3,6.826666667E-1,1.240742683E1
3.785888672E3,6.826666667E-1,2.887002511E1
3.809326172E3,6.826666667E-1,1.680382287E1
3.832763672E3,6.826666667E-1,2.115265678E1
3.856201172E3,6.826666667E-1,2.554010636E1
3.879638672E3,6.826666667E-1,2.607532222E1
3.903076172E3,6.826666667E-1,3.057951910E1
3.926513672E3,6.826666667E-1,3.384554469E1
3.949951172E3,6.826666667E-1,3.717711341E1
3.973388672E3,6.826666667E-1,3.242941793E1
3.996826172E3,6.826666667E-1,3.510349471E1
4.020263672E3,6.826666667E-1,3.841046704E1
4.043701172E3,6.826666667E-1,2.918787176E1
4.067138672E3,6.826666667E-1,2.171549064E1
4.090576172E3,6.826666667E-1,3.030355220E1
4.114013672E3,6.826666667E-1,2.544840231E1
4.137451172E3,6.826666667E-1,2.245588459E1
4.160888672E3,6.826666667E-1,3.626314450E1
4.184326172E3,6.826666667E-1,3.558118120E1
4.207763672E3,6.826666667E-1,2.763250413E1
4.231201172E3,6.826666667E-1,4.416982361E1
4.254638672E3,6.826666667E-1,4.985947256E1
4.278076172E3,6.826666667E-1,3.669290572E1
4.301513672E3,6.826666667E-1,4.534730581E1
4.324951172E3,6.826666667E-1,3.548983751E1
4.348388672E3,6.826666667E-1,3.173870983E1
4.371826172E3,6.826666667E-1,5.458101285E1
4.395263672E3,6.826666667E-1,3.909018838E1
4.418701172E3,6.826666667E-1,3.048928446E1
4.442138672E3,6.826666667E-1,2.364930471E1
4.465576172E3,6.826666667E-1,3.350811409E1
4.489013672E3,6.826666667E-1,3.431659402E1
4.512451172E3,6.826666667E-1,4.100952220E1
4.535888672E3,6.826666667E-1,2.443610547E1
4.559326172E3,6.826666667E-1,2.785776419E1
4.582763672E3,6.826666667E-1,4.610016471E1
4.606201172E3,6.826666667E-1,4.429098719E1
4.629638672E3,6.826666667E-1,3.878405735E1
4.653076172E3,6.826666667E-1,3.654498641E1
4.676513672E3,6.826666667E-1,4.353577073E1
4.699951172E3,6.826666667E-1,3.855776859E1
