"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,1.500398646E1
4.687500000E1,1.091518080E1
7.031250000E1,2.361166196E0
9.375000000E1,3.238915364E0
1.171875000E2,1.116867484E1
1.406250000E2,5.494302693E0
1.640625000E2,6.321892481E0
1.875000000E2,3.016672298E0
2.109375000E2,2.107553533E0
2.343750000E2,7.010786713E0
2.578125000E2,1.441465476E0
2.812500000E2,3.816151010E0
3.046875000E2,6.326923577E0
3.281250000E2,5.474540959E0
3.515625000E2,3.839108641E0
3.750000000E2,3.226167818E0
3.984375000E2,5.640557070E0
4.218750000E2,3.299426157E0
4.453125000E2,4.886768584E0
4.687500000E2,1.562541740E1
4.921875000E2,5.061443822E0
5.156250000E2,1.468084715E1
5.390625000E2,1.888942976E1
5.625000000E2,9.277718099E0
5.859375000E2,1.114803886E1
6.093750000E2,1.051297826E1
6.328125000E2,1.099831067E1
6.562500000E2,4.176367393E0
6.796875000E2,8.653095226E0
7.031250000E2,5.675717511E0
7.265625000E2,9.625816574E0
7.500000000E2,5.827326999E0
7.734375000E2,1.116402021E0
7.968750000E2,1.888069835E0
8.203125000E2,6.335863996E0
8.437500000E2,3.081159919E0
8.671875000E2,4.256259617E0
8.906250000E2,7.843638088E0
9.140625000E2,8.594649710E0
9.375000000E2,1.492001886E1
9.609375000E2,6.702573632E0
9.843750000E2,2.225220625E0
1.007812500E3,6.212137708E0
1.031250000E3,1.004920735E1
1.054687500E3,2.140860918E0
1.078125000E3,9.864583794E0
1.101562500E3,1.233615812E1
1.125000000E3,1.395381259E1
1.148437500E3,7.648283164E0
1.171875000E3,8.842010108E0
1.195312500E3,8.775901200E0
1.218750000E3,1.488493754E1
1.242187500E3,4.035871498E0
1.265625000E3,1.081679231E0
1.289062500E3,6.136341691E0
1.312500000E3,9.123266298E0
1.335937500E3,1.058664302E1
1.359375000E3,9.260876481E0
1.382812500E3,4.532173100E0
1.406250000E3,2.950189249E0
1.429687500E3,8.270232293E-1
1.453125000E3,5.421977872E0
1.476562500E3,5.558599659E0
1.500000000E3,9.594008312E0
1.523437500E3,1.729866097E1
1.546875000E3,5.204884102E0
1.570312500E3,2.989364538E1
1.593750000E3,1.429840418E1
1.617187500E3,1.543058159E1
1.640625000E3,8.085867047E0
1.664062500E3,1.352074626E1
1.687500000E3,2.133209826E1
1.710937500E3,2.254686678E1
1.734375000E3,7.794774885E0
1.757812500E3,7.004041140E0
1.781250000E3,6.291113421E0
1.804687500E3,4.155737909E0
1.828125000E3,6.539695531E0
1.851562500E3,1.053924088E1
1.875000000E3,1.037453987E1
1.898437500E3,9.412034648E-1
1.921875000E3,6.212947943E0
1.945312500E3,5.973953989E0
1.968750000E3,1.100574335E1
1.992187500E3,9.829209382E0
2.015625000E3,6.686748920E0
2.039062500E3,1.962009301E1
2.062500000E3,4.466733406E0
2.085937500E3,7.332454741E0
2.109375000E3,1.474012491E1
2.132812500E3,1.077275000E1
2.156250000E3,6.357393786E0
2.179687500E3,2.812822970E1
2.203125000E3,1.161318227E1
2.226562500E3,1.676115948E1
2.250000000E3,1.479520873E1
2.273437500E3,1.877102687E1
2.296875000E3,1.974067215E1
2.320312500E3,1.086488902E1
2.343750000E3,6.878961952E0
2.367187500E3,1.352118237E1
2.390625000E3,9.796716879E0
2.414062500E3,6.890568089E0
2.437500000E3,1.570283080E1
2.460937500E3,1.746403799E1
2.484375000E3,7.393946208E0
2.507812500E3,7.576357546E0
2.531250000E3,1.072113130E1
2.554687500E3,1.208866099E1
2.578125000E3,2.431553771E0
2.601562500E3,6.810392119E0
2.625000000E3,1.758479444E1
2.648437500E3,1.398309015E1
2.671875000E3,1.588821725E1
2.695312500E3,2.640446989E0
2.718750000E3,6.912339240E0
2.742187500E3,8.332113100E0
2.765625000E3,9.701062885E0
2.789062500E3,9.851904001E0
2.812500000E3,5.012769824E0
2.835937500E3,1.689839151E1
2.859375000E3,1.651908072E1
2.882812500E3,6.020130289E0
2.906250000E3,4.751826880E0
2.929687500E3,3.058116451E0
2.953125000E3,2.766634523E0
2.976562500E3,1.443788406E1
3.000000000E3,3.480378573E0
3.023437500E3,5.015252185E0
3.046875000E3,6.949294678E0
3.070312500E3,2.207049886E1
3.093750000E3,1.524832226E1
3.117187500E3,1.588040263E1
3.140625000E3,3.265543367E1
3.164062500E3,3.570903275E0
3.187500000E3,9.201981679E0
3.210937500E3,8.426749096E0
3.234375000E3,2.400418056E0
3.257812500E3,2.961493846E0
3.281250000E3,3.471380411E1
3.304687500E3,2.031629708E1
3.328125000E3,7.663477374E0
3.351562500E3,1.769944401E1
3.375000000E3,2.961474147E1
3.398437500E3,1.431429729E1
3.421875000E3,7.927087322E0
3.445312500E3,5.146286847E0
3.468750000E3,1.430044090E1
3.492187500E3,3.027041161E1
3.515625000E3,2.758116356E1
3.539062500E3,1.158712196E1
3.562500000E3,8.066304970E0
3.585937500E3,2.208758560E1
3.609375000E3,1.033145416E1
3.632812500E3,7.882211400E0
3.656250000E3,9.918566673E0
3.679687500E3,1.579930808E1
3.703125000E3,2.209612202E1
3.726562500E3,1.028092575E1
3.750000000E3,5.368733179E0
3.773437500E3,3.185220796E1
3.796875000E3,2.856438319E1
3.820312500E3,1.012529318E1
3.843750000E3,1.120985359E1
3.867187500E3,1.785566769E1
3.890625000E3,1.846031740E1
3.914062500E3,7.387615866E0
3.937500000E3,5.938789191E0
3.960937500E3,4.974645635E0
3.984375000E3,1.031856875E1
4.007812500E3,1.258260415E1
4.031250000E3,4.064123379E1
4.054687500E3,1.793893299E1
4.078125000E3,9.309295128E0
4.101562500E3,8.484066703E0
4.125000000E3,2.308913369E1
4.148437500E3,8.767761949E0
4.171875000E3,1.924650055E1
4.195312500E3,2.703802719E1
4.218750000E3,3.243460804E1
4.242187500E3,3.917898543E1
4.265625000E3,4.454539845E1
4.289062500E3,2.403271727E1
4.312500000E3,1.593331888E1
4.335937500E3,7.448222369E1
4.359375000E3,3.925795663E1
4.382812500E3,1.824350959E1
4.406250000E3,4.494745013E1
4.429687500E3,6.886694567E1
4.453125000E3,5.029774241E1
4.476562500E3,3.240435633E1
4.500000000E3,6.075080749E1
4.523437500E3,6.310650485E1
4.546875000E3,5.532310169E1
4.570312500E3,3.510529475E1
4.593750000E3,4.269810351E1
4.617187500E3,3.212169908E1
4.640625000E3,4.867694508E1
4.664062500E3,2.995904008E1
